Característica,Fisher_Score,Rank
w_ACC_y_q25,0.020384059498520707,137
c_TEMP_zcr,0.019569351740377713,138
w_ACC_x_rms,0.018020325875103414,139
c_ACC_mag_skewness,0.017494055576273433,140
w_BVP_skewness,0.01623634191683532,141
c_EMG_spectral_energy,0.01613949996683605,142
c_ACC_z_kurtosis,0.01610152147315657,143
w_ACC_z_max,0.015939663614698934,144
w_ACC_x_iqr,0.015072005805952582,145
c_EDA_skewness,0.014805117690353586,146
c_EMG_std,0.014573709959137031,147
c_EMG_q25,0.013118839304878864,148
c_EMG_iqr,0.01185702684690256,149
c_RESP_rate_std,0.011645860449327626,150
c_EDA_scr_mean,0.011100573973451192,151
c_EMG_q75,0.010651274601609641,152
c_ACC_y_std,0.008268093465342812,153
w_ACC_y_max,0.007956415266309374,154
c_ECG_pnn50,0.006549237391039403,155
w_BVP_kurtosis,0.006437259852573625,156
c_EMG_spectral_entropy,0.0062399733892318544,157
w_EDA_spectral_entropy,0.005957060113381954,158
c_EMG_skewness,0.005495121061490432,159
w_ACC_z_skewness,0.005161172732498913,160
c_EMG_max,0.004754811157483852,161
c_RESP_mean,0.0029940039351251933,162
c_ACC_x_kurtosis,0.0028982173392117405,163
c_EMG_range,0.0028860209074498618,164
c_RESP_rate_mean,0.002665622814115589,165
c_ACC_z_min,0.002606648324795031,166
w_EDA_scr_mean,0.0023662149640084956,167
w_EDA_peak_freq,0.00233741938168016,168
c_ECG_spectral_entropy,0.002174297183040725,169
c_ECG_median,0.002166700063949105,170
c_ACC_y_min,0.0020680046468987685,171
c_EMG_kurtosis,0.0020149689871211446,172
w_ACC_mag_kurtosis,0.0016261026923066115,173
w_ACC_x_std,0.0014688192295192028,174
c_ACC_z_skewness,0.0014485227024929514,175
w_EDA_kurtosis,0.00120069360635709,176
c_EMG_min,0.0011803239854496445,177
w_TEMP_skewness,0.001167357107024703,178
c_ACC_y_iqr,0.0010323587002301973,179
w_ACC_mag_spectral_entropy,0.0008300117053710003,180
w_ACC_z_kurtosis,0.0008043284508252337,181
c_ACC_mag_kurtosis,0.0007327960065381853,182
w_ACC_z_iqr,0.0005712787637963014,183
w_ACC_mag_median,0.0005710088819309117,184
w_ACC_x_skewness,0.0004892237914261342,185
c_EMG_mean,0.0004524364100682703,186
w_TEMP_deriv_std,0.0004070415250715383,187
w_ACC_y_iqr,0.00039228860392492653,188
w_ACC_y_std,0.0002967080948945702,189
w_BVP_mean,0.00024712080257139766,190
c_ACC_x_min,0.00014044664223031953,191
c_ECG_max,0.00012436442829348162,192
w_ACC_x_mean,0.00010421978577882883,193
w_ACC_y_skewness,5.7586548633620855e-05,194
w_TEMP_std,1.5694127168828198e-05,195
c_ACC_x_skewness,1.5508382905816027e-05,196
c_ACC_y_skewness,1.4629123792848529e-05,197
w_ACC_z_std,1.4512077550757334e-05,198
w_TEMP_iqr,5.7308035205437514e-06,199
c_EMG_median,9.152392227846247e-07,200
